metric,algorithm_a,algorithm_b,mean_a,mean_b,mean_difference_a_minus_b,wilcoxon_W,p_raw,rank_biserial_effect,p_holm,significant_0_05
balanced_accuracy,RBF SVM,Random Forest,0.9738270059634293,0.9568601098407845,0.01696689612264459,0.0,0.0006533107814151376,1.0,0.0039198646884908254,True
balanced_accuracy,Logistic Regression,Random Forest,0.9719004596051763,0.9568601098407845,0.015040349764391696,5.0,0.002857948071919034,0.9047619047619048,0.01178776276656959,True
balanced_accuracy,RBF SVM,k-NN,0.9738270059634293,0.9580800479015349,0.015746958061894197,6.5,0.002357552553313918,0.8916666666666667,0.01178776276656959,True
balanced_accuracy,Logistic Regression,k-NN,0.9719004596051763,0.9580800479015349,0.0138204117036413,6.0,0.0057567106991914686,0.8681318681318682,0.017270132097574407,True
balanced_accuracy,Logistic Regression,RBF SVM,0.9719004596051763,0.9738270059634293,-0.001926546358252897,44.0,0.9163080310833858,0.03296703296703297,1.0,False
balanced_accuracy,Random Forest,k-NN,0.9568601098407845,0.9580800479015349,-0.0012199380607503954,41.0,0.7531523647659145,-0.0989010989010989,1.0,False
