algorithm,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,sensitivity_at_95_specificity_mean,sensitivity_at_95_specificity_std,mcc_mean,mcc_std,achieved_specificity_mean,achieved_specificity_std,brier_score_mean,brier_score_std,selected_threshold_mean,selected_threshold_std,train_time_s_mean,train_time_s_std,prediction_time_ms_per_sample_mean,prediction_time_ms_per_sample_std,rank_balanced_accuracy
RBF SVM,0.9738270059634291,0.014205073887978299,0.9957497497185236,0.005401277017762077,0.9827611664820968,0.02569822831565708,0.9519499073607337,0.023680932372757833,0.9794470526864892,0.01899043500188794,0.019106505767340916,0.008413439588482181,0.4645623468489813,0.2232401490035744,0.1990195424666581,0.003899464942142444,0.00941166247997199,0.0011777462464107843,1
Logistic Regression,0.9719004596051763,0.01426243302565322,0.9950260058773543,0.006015724741652359,0.9764488741232927,0.028196414120298184,0.9515500226099703,0.021964025488726932,0.9897496087636933,0.015368488635949877,0.021819867472306107,0.006998315567608908,0.4573462432165819,0.12816724574445226,0.14381347979999645,0.015122080579976691,0.00555228556642033,0.0006990001618277488,2
k-NN,0.9580800479015349,0.017754051884109015,0.9891128099345426,0.010276719494295768,0.9654485049833887,0.03439552617885404,0.9293654029248111,0.02601276930431537,0.9785472091810121,0.014798551935538052,0.029267020880413337,0.007869338048268688,0.4032489189459524,0.1706464667487586,0.09337590753333037,0.02238927051018672,0.01208778040677893,0.0009856772399959755,3
Random Forest,0.9568601098407845,0.013369752770605469,0.9904868234673617,0.01006283568341235,0.963861203396087,0.03316021848054474,0.9153504963055826,0.023456496581610423,0.9644887845592071,0.011711880173853816,0.030934377479556647,0.007766764488155165,0.4464229797979798,0.09768801091916952,1.165525136933339,0.032321821763939364,0.032489288578411164,0.005909400405335876,4
