algorithm,scaled_balanced_accuracy_mean,scaled_balanced_accuracy_std,unscaled_balanced_accuracy_mean,unscaled_balanced_accuracy_std,delta_scaled_minus_unscaled,scaled_roc_auc_mean,unscaled_roc_auc_mean
k-NN,0.9580800479015349,0.017754051884109022,0.9176940627399194,0.022133468846559916,0.04038598516161551,0.9891128099345426,0.975200492359844
RBF SVM,0.9738270059634293,0.014205073887978292,0.9082602635624253,0.018621678107156276,0.06556674240100402,0.9957497497185237,0.9798996967738097
