experiment,algorithm,repeat,fold,outer_fold_index,n_train,n_test,balanced_accuracy,roc_auc,sensitivity_at_95_specificity,achieved_specificity,mcc,brier_score,selected_threshold,train_time_s,prediction_time_s,prediction_time_ms_per_sample,best_inner_roc_auc
main_scaled,Logistic Regression,1,1,1,455,114,0.9697019325253848,0.996069439895185,0.9767441860465116,0.9859154929577465,0.9438975339262832,0.02546713864871705,0.44566030590545697,0.12083280599995305,0.0008318490000078782,0.007296921052700686,0.993218071219716
main_scaled,Logistic Regression,1,2,2,455,114,0.9767441860465116,1.0,1.0,1.0,0.962998132394131,0.017824022918780814,0.4245333183052418,0.12609794500002636,0.0005729879999876175,0.005026210526207171,0.992792974761465
main_scaled,Logistic Regression,1,3,3,455,114,0.9523809523809523,0.9788359788359788,0.9047619047619048,1.0,0.9258200997725514,0.038024673643906604,0.5520594938745338,0.1219480340000132,0.0005892019999578224,0.00516843859612125,0.9967297630040012
main_scaled,Logistic Regression,1,4,4,455,114,0.9642857142857143,0.9973544973544973,0.9761904761904762,0.9722222222222222,0.9441549509633318,0.022324341664923135,0.39016461554065646,0.15762384399999974,0.0006550819999802115,0.005746333333159751,0.9943356197511322
main_scaled,Logistic Regression,1,5,5,456,113,0.9929577464788732,1.0,1.0,1.0,0.9813191253000522,0.009294670391737486,0.765147904586438,0.13396249999999554,0.000609461999999894,0.005393469026547735,0.9942443485358132
main_scaled,Logistic Regression,2,1,6,455,114,0.9534883720930232,0.9947592531935802,0.9534883720930233,1.0,0.9266092224680211,0.02966798725559304,0.4744369464425446,0.1535278230000472,0.0005847750000498309,0.0051296052635950076,0.9951110643934399
main_scaled,Logistic Regression,2,2,7,455,114,0.981329839502129,0.9931215198165738,0.9767441860465116,1.0,0.9626596790042581,0.019644406729525173,0.6195237844344362,0.14027879499997198,0.0005651050000210489,0.004957061403693412,0.9953034312755573
main_scaled,Logistic Regression,2,3,8,455,114,0.9523809523809523,0.998015873015873,0.9761904761904762,1.0,0.9258200997725514,0.02391993346354102,0.38484323202554993,0.15018047699999215,0.0005800980000003619,0.005088578947371596,0.9939519852262234
main_scaled,Logistic Regression,2,4,9,455,114,0.9811507936507937,0.9993386243386244,1.0,0.9861111111111112,0.9623015873015873,0.01826248780782533,0.44992135440903464,0.13138416599997527,0.0005882009999709226,0.005159657894481777,0.9929121048234623
main_scaled,Logistic Regression,2,5,10,456,113,0.9691482226693494,0.9909456740442657,0.9761904761904762,0.9859154929577465,0.9430521597641348,0.019168023543798395,0.30435537927844536,0.15141952299995864,0.0005932280000138235,0.005249805309856845,0.9967352248494041
main_scaled,Logistic Regression,3,1,11,455,114,0.981329839502129,0.9986898132983951,1.0,0.9577464788732394,0.9626596790042581,0.014949095229632652,0.2353251384134306,0.13171310400002767,0.0005659060000198224,0.004964087719472127,0.9948721515960957
main_scaled,Logistic Regression,3,2,12,455,114,0.9651162790697674,0.9911562397641664,0.9302325581395349,1.0,0.9447329926514414,0.02950488023009395,0.5146198750254264,0.15676755699996647,0.0006688519999897835,0.005867122806927925,0.9958403409840391
main_scaled,Logistic Regression,3,3,13,455,114,0.9761904761904762,1.0,1.0,1.0,0.962621902223779,0.017484207933032406,0.42798229529595566,0.15545307700000421,0.0007542210000224259,0.006615973684407244,0.9927626082750737
main_scaled,Logistic Regression,3,4,14,455,114,0.9623015873015872,0.9871031746031745,0.9761904761904762,0.9583333333333334,0.9246031746031746,0.023997083316161325,0.36211621103208075,0.15813337000003003,0.0005996369999934359,0.005259973684152946,0.9975915666358879
main_scaled,Logistic Regression,3,5,15,456,113,1.0,1.0,1.0,1.0,1.0,0.017765059307323194,0.5095037936794973,0.16787917599998536,0.0007187979999798699,0.006361044247609468,0.9915768382029636
main_scaled,k-NN,1,1,1,455,114,0.9580740255486406,0.9839502129053389,0.9534883720930233,0.971830985915493,0.9252853920667758,0.03232505180059746,0.4235525693617725,0.1718269720000194,0.0012536980000277254,0.010997350877436187,0.9931400252275425
main_scaled,k-NN,1,2,2,455,114,0.9534883720930232,0.9996724533245986,1.0,0.9859154929577465,0.9266092224680211,0.023740684477911746,0.2781023749430471,0.08219233599999143,0.001441781999972136,0.012647210526071368,0.9902971862221343
main_scaled,k-NN,1,3,3,455,114,0.9285714285714286,0.9672619047619048,0.9047619047619048,0.9583333333333334,0.8894991799933214,0.04572919910577024,0.26764489928039764,0.08128528399998913,0.0012374830000112524,0.010855114035186426,0.9957888141406149
main_scaled,k-NN,1,4,4,455,114,0.9642857142857143,0.9953703703703705,0.9285714285714286,1.0,0.9441549509633318,0.02831876581886671,0.526827782720006,0.08146944200001371,0.0014377259999491798,0.012611631578501578,0.9877720617332807
main_scaled,k-NN,1,5,5,456,113,0.9929577464788732,0.9979879275653923,1.0,0.9859154929577465,0.9813191253000522,0.016097419452360012,0.706861024941814,0.10115601400002561,0.0011535470000012538,0.010208380530984548,0.9879587950138503
main_scaled,k-NN,2,1,6,455,114,0.9464461185718964,0.9711758925646904,0.9069767441860465,1.0,0.9068106119605033,0.03979595097120074,0.5950281357607095,0.08027561500000502,0.001384857000005013,0.012147868421096606,0.994015311716792
main_scaled,k-NN,2,2,7,455,114,0.9697019325253848,0.9841139862430397,0.9534883720930233,1.0,0.9438975339262832,0.028661119061139027,0.6135907880718584,0.09034268499999598,0.0012832730000127412,0.011256780701866151,0.9907327426296003
main_scaled,k-NN,2,3,8,455,114,0.9573412698412699,0.9947089947089947,0.9285714285714286,0.9861111111111112,0.9245181185940877,0.029887112741018632,0.5872091929994021,0.089045700999975,0.001514081999971495,0.013281421052381535,0.9916941476498261
main_scaled,k-NN,2,4,9,455,114,0.9573412698412699,0.9980158730158729,1.0,0.9583333333333334,0.9245181185940877,0.023416880754133465,0.27310836346801076,0.08648578700001508,0.0015064099999904101,0.013214122806933423,0.9899463571208723
main_scaled,k-NN,2,5,10,456,113,0.9523809523809523,0.9845741113346747,0.9761904761904762,0.971830985915493,0.9254771399164523,0.02971371447299719,0.3331768255733759,0.09045642300003465,0.0014557040000227062,0.01288233628338678,0.9940873634195135
main_scaled,k-NN,3,1,11,455,114,0.9626596790042581,0.9941041598427776,0.9767441860465116,0.971830985915493,0.9253193580085162,0.025760968790937384,0.3924923829761682,0.08985075999999026,0.001284445000010237,0.01126706140359857,0.9880201806599832
main_scaled,k-NN,3,2,12,455,114,0.9302325581395349,0.9831313462168358,0.9767441860465116,0.9577464788732394,0.8907389552720495,0.04009428246577876,0.1502320493740896,0.08910679399997434,0.0014362950000190722,0.012599078947535721,0.9931257694675285
main_scaled,k-NN,3,3,13,455,114,0.9404761904761905,0.9986772486772487,1.0,0.9722222222222222,0.907605465436683,0.03016454394312867,0.18255724112485794,0.0870460239999602,0.0013315959999999905,0.011680666666666584,0.9904289231851559
main_scaled,k-NN,3,4,14,455,114,0.9761904761904762,0.9849537037037037,0.9761904761904762,0.9722222222222222,0.962621902223779,0.025633239319944323,0.28064303765629384,0.09459781099997144,0.0015223450000121375,0.013353903508878398,0.9957316536956426
