experiment,algorithm,repeat,fold,outer_fold_index,n_train,n_test,balanced_accuracy,roc_auc,sensitivity_at_95_specificity,achieved_specificity,mcc,brier_score,selected_threshold,train_time_s,prediction_time_s,prediction_time_ms_per_sample,best_inner_roc_auc
no_scaling_ablation,k-NN,1,1,1,455,114,0.8812643301670489,0.9832951195545365,0.8372093023255814,0.9577464788732394,0.7950986610413877,0.06102676835802479,0.4014780095773833,0.06568442399998276,0.0012330860000133725,0.010816543859766426,0.9743200861254012
no_scaling_ablation,k-NN,1,2,2,455,114,0.8812643301670489,0.961021945627252,0.9069767441860465,0.971830985915493,0.7950986610413877,0.0663522917493843,0.15773377988841375,0.06420584699998244,0.0014771250000080727,0.012957236842176076,0.9740519404322209
no_scaling_ablation,k-NN,1,3,3,455,114,0.9196428571428572,0.9593253968253969,0.8809523809523809,0.9583333333333334,0.8483105513347052,0.055566940415664325,0.5214476352067374,0.07493258000005198,0.0014602200000126686,0.012808947368532182,0.9746471441762301
no_scaling_ablation,k-NN,1,4,4,455,114,0.9265873015873016,0.9770171957671958,0.8809523809523809,0.9722222222222222,0.8674927968252835,0.05411306042884991,0.6,0.07005487899999707,0.0010991440000225339,0.009641614035285384,0.9694988567911006
no_scaling_ablation,k-NN,1,5,5,456,113,0.9431589537223339,0.9872568745808182,0.9285714285714286,0.9577464788732394,0.886317907444668,0.04549760092070986,0.5209152178256462,0.10935341200001858,0.001311755000017456,0.011608451327588106,0.9738808369608231
no_scaling_ablation,k-NN,2,1,6,455,114,0.9020635440550278,0.9575827055355388,0.7906976744186046,0.9577464788732394,0.8121471710847102,0.06610750636163872,0.7200555975758383,0.0655839119999655,0.0011977920000276754,0.010506947368663819,0.9797751643362793
no_scaling_ablation,k-NN,2,2,7,455,114,0.9348182115951523,0.9885358663609564,0.9534883720930233,0.9577464788732394,0.8884606304270842,0.040233918128654976,0.3333333333333333,0.1047301300000072,0.0012531860000422057,0.010992859649493033,0.9698666553994636
no_scaling_ablation,k-NN,2,3,8,455,114,0.9047619047619048,0.9733796296296297,0.8809523809523809,0.9583333333333334,0.8535639569308375,0.0611466171916168,0.26384667380257837,0.06973385300000245,0.0013260669999795027,0.011632166666486865,0.9771127379853142
no_scaling_ablation,k-NN,2,4,9,455,114,0.9077380952380952,0.9841269841269842,0.9047619047619048,0.9583333333333334,0.8291617197562593,0.051272854112304436,0.34524356675755496,0.06839701899997408,0.0012976830000184236,0.011383184210687926,0.9678681352504067
no_scaling_ablation,k-NN,2,5,10,456,113,0.9502012072434608,0.9788732394366196,0.9285714285714286,0.971830985915493,0.904966064677163,0.04105286744131444,0.5339986701393907,0.06803401100000883,0.0013206680000052984,0.011687327433675208,0.9664622081519588
no_scaling_ablation,k-NN,3,1,11,455,114,0.9510317720275139,0.9878807730101539,0.9302325581395349,0.971830985915493,0.9063785942932301,0.04085533610038705,0.5538177069722965,0.06603020800002923,0.0012829820000206382,0.011254228070356476,0.9711786318867345
no_scaling_ablation,k-NN,3,2,12,455,114,0.9161480510972814,0.9584015722240419,0.8837209302325582,0.9577464788732394,0.8503120383861473,0.05733878394328278,0.36833690801218333,0.06696237800002791,0.0016492060000246056,0.014466719298461453,0.9746266880193906
no_scaling_ablation,k-NN,3,3,13,455,114,0.9057539682539683,0.9831349206349207,0.8333333333333334,0.9583333333333334,0.8115079365079365,0.05714037145161418,0.6311084176705273,0.06831095899997308,0.001431946999957745,0.012560938596120568,0.9707085696697885
no_scaling_ablation,k-NN,3,4,14,455,114,0.933531746031746,0.9771825396825398,0.9285714285714286,0.9722222222222222,0.8872442622820285,0.04386994732933959,0.39647790330570515,0.06190085899999076,0.0011851030000116225,0.010395640350979144,0.9686925647451963
no_scaling_ablation,k-NN,3,5,15,456,113,0.9074446680080482,0.970992622401073,0.9285714285714286,0.9577464788732394,0.8283317165316718,0.05986234021632252,0.4,0.06770421100003432,0.0011636309999971672,0.010297619469001481,0.9727187692366884
no_scaling_ablation,RBF SVM,1,1,1,455,114,0.8883065836881756,0.9901735997379626,0.9069767441860465,0.9577464788732394,0.8160571683005166,0.04913899540967959,0.33249151555551887,0.3811549739999691,0.0011441620000027797,0.010036508771954208,0.9767767486149584
no_scaling_ablation,RBF SVM,1,2,2,455,114,0.8999344906649198,0.9855879462823453,0.9302325581395349,0.9577464788732394,0.8340339047521773,0.06417282428860806,0.10454859081862904,0.38977649200000997,0.0010798540000109824,0.009472403508868266,0.9775789872158466
no_scaling_ablation,RBF SVM,1,3,3,455,114,0.9007936507936507,0.957010582010582,0.8571428571428571,0.9583333333333334,0.810206767705014,0.05990444938091457,0.5559701823330807,0.3955681769999728,0.0010793229999990217,0.009467745614026506,0.9823154377170997
